time,pop_capacity,pop_count,pop_updated,upw_capacity,upw_count,upw_updated,fre_capacity,fre_count,fre_updated
2021-04-06 18:30:02.773210,280,169,6:29 PM,64,38,6:29 PM,165,85,6:29 PM
2021-04-06 18:45:01.604252,280,172,6:44 PM,64,40,6:44 PM,165,85,6:44 PM
2021-04-06 19:00:02.418585,280,165,6:59 PM,64,36,6:59 PM,165,92,6:59 PM
2021-04-06 19:15:02.030021,280,171,7:14 PM,64,31,7:14 PM,165,95,7:14 PM
2021-04-06 19:30:02.541375,280,169,7:30 PM,64,31,7:28 PM,165,101,7:29 PM
2021-04-06 19:45:01.574194,280,179,7:44 PM,64,29,7:44 PM,165,102,7:44 PM
2021-04-06 20:00:03.864999,280,166,7:59 PM,64,30,7:59 PM,165,96,7:59 PM
2021-04-06 20:15:02.875145,280,151,8:14 PM,64,19,8:12 PM,165,96,8:14 PM
2021-04-06 20:30:04.311626,280,156,8:29 PM,64,17,8:29 PM,165,100,8:29 PM
2021-04-06 20:45:02.643910,280,144,8:43 PM,64,16,8:42 PM,165,96,8:43 PM
2021-04-06 21:00:02.431748,280,146,8:59 PM,64,15,8:58 PM,165,96,8:58 PM
2021-04-06 21:15:02.270014,280,141,9:14 PM,64,0,9:13 PM,165,90,9:14 PM
2021-04-06 21:30:01.912995,280,128,9:28 PM,64,0,9:23 PM,165,74,9:29 PM
2021-04-06 21:45:01.911292,280,96,9:44 PM,64,0,9:40 PM,165,57,9:44 PM
2021-04-06 22:00:02.053039,280,53,9:59 PM,64,0,9:59 PM,165,30,10:00 PM
2021-04-06 22:15:01.815155,280,33,10:10 PM,64,0,10:10 PM,165,11,10:11 PM
2021-04-06 22:30:01.712326,280,24,10:28 PM,64,0,10:20 PM,165,11,10:21 PM
2021-04-06 22:45:02.307102,280,20,10:41 PM,64,0,10:40 PM,165,9,10:41 PM
2021-04-06 23:00:02.327015,280,15,10:55 PM,64,0,10:50 PM,165,7,10:53 PM
2021-04-06 23:15:01.909084,280,11,11:10 PM,64,0,11:10 PM,165,6,11:10 PM
2021-04-06 23:30:01.889132,280,6,11:21 PM,64,0,11:20 PM,165,6,11:20 PM
2021-04-06 23:45:01.934548,280,2,11:41 PM,64,0,11:40 PM,165,4,11:40 PM
2021-04-07 00:15:01.733419,280,0,12:10 AM,64,0,12:11 AM,165,0,12:11 AM
